14995,2.640359,0,3117,884308,1,64,422,675,3117,2.640359
14996,4.340925,0,1405,884727,20,1280,423,676,28100,4.340925
14997,24.508022,0,187,885025,1,64,423,677,187,15.276667
14998,1.804829,0,1988,887821,12,768,424,678,23856,1.804829
14999,1.035282,0,32991,888257,1,64,425,679,32991,1.035282
15000,1.774929,0,1404,888333,20,1280,426,680,28080,1.774929
15001,5.228724,0,188,888626,1,64,426,681,188,3.276667
15002,1.582456,0,570,889089,6,384,427,682,3420,1.582456
15004,1.686520,0,319,889202,3,192,428,683,957,1.686520
15009,1.561538,0,390,889202,3,192,428,683,1170,1.561538
15010,1.536765,0,408,889202,3,192,428,683,1224,1.536765
15011,1.536765,0,408,889202,3,192,428,683,1224,1.536765
15012,1.521429,0,420,889202,3,192,428,683,1260,1.521429
15013,1.408582,0,536,889202,3,192,428,683,1608,1.408582
15014,1.000000,0,288,889421,2,128,429,684,576,0.960000
15015,1.000000,0,1106,889421,6,384,429,685,6636,1.000000
15016,1.000000,0,1515,889421,6,384,429,685,9090,1.000000
15005,2.291022,0,131,889202,3,0,428,683,393,2.291022
15006,2.263636,0,138,889202,3,0,428,683,414,2.263636
15007,2.241667,0,168,889202,3,0,428,683,504,2.241667
15008,2.161039,0,193,889202,3,0,428,683,579,2.161039
15003,1.717452,0,338,889089,6,0,427,682,2028,1.717452
15040,1.011628,0,344,889987,3,192,431,688,1032,1.011628
15059,1.067204,0,372,889996,3,192,431,688,1116,1.067204
15074,1.037879,0,396,890006,3,192,431,688,1188,1.037879
15075,1.034091,0,440,890006,3,192,431,688,1320,1.034091
15076,1.030928,0,485,890006,3,192,431,688,1455,1.030928
15077,1.020804,0,721,890006,3,192,431,688,2163,1.020804
15078,1.009265,0,1619,890006,3,192,431,688,4857,1.009265
15084,1.025194,0,516,890008,3,192,431,688,1548,1.025194
15085,1.024390,0,533,890008,3,192,431,688,1599,1.024390
15086,1.022071,0,589,890008,3,192,431,688,1767,1.022071
15087,1.020968,0,620,890008,3,192,431,688,1860,1.020968
15088,1.019090,0,681,890008,3,192,431,688,2043,1.019090
15126,1.021467,0,559,890039,3,192,431,688,1677,1.021467
15127,1.021201,0,566,890039,3,192,431,688,1698,1.021201
15128,1.010170,0,1180,890039,3,192,431,688,3540,1.010170
15135,1.018349,0,327,890045,3,192,431,688,981,1.018349
15017,2.331828,0,443,889551,4,256,430,686,1772,2.331828
15018,2.957447,0,188,889773,1,64,430,687,188,1.853333
15019,1.006081,0,30093,889958,1,64,430,687,30093,1.006081
15021,1.503012,0,332,889974,3,192,431,688,996,1.503012
15022,1.488304,0,342,889974,3,192,431,688,1026,1.488304
15023,1.452574,0,369,889974,3,192,431,688,1107,1.452574
15024,1.374439,0,446,889974,3,192,431,688,1338,1.374439
15029,1.106505,0,1568,889974,3,192,431,688,4704,1.106505
15030,1.501558,0,321,889980,3,192,431,688,963,1.501558
15031,1.493865,0,326,889980,3,192,431,688,978,1.493865
15032,1.490854,0,328,889980,3,192,431,688,984,1.490854
15037,1.333333,0,483,889980,3,192,431,688,1449,1.333333
15038,1.153920,0,1046,889980,3,192,431,688,3138,1.153920
15039,1.142226,0,1132,889980,3,192,431,688,3396,1.142226
15050,1.428161,0,348,889992,3,192,431,688,1044,1.428161
15051,1.116497,0,1279,889992,3,192,431,688,3837,1.116497
15061,1.367454,0,381,890001,3,192,431,688,1143,1.367454
15062,1.366492,0,382,890001,3,192,431,688,1146,1.366492
15063,1.348259,0,402,890001,3,192,431,688,1206,1.348259
15064,1.338164,0,414,890001,3,192,431,688,1242,1.338164
15065,1.334928,0,418,890001,3,192,431,688,1254,1.334928
15066,1.288660,0,485,890001,3,192,431,688,1455,1.288660
15092,1.211604,0,586,890017,3,192,431,688,1758,1.211604
15093,1.209814,0,591,890017,3,192,431,688,1773,1.209814
15094,1.199357,0,622,890017,3,192,431,688,1866,1.199357
15095,1.162943,0,761,890017,3,192,431,688,2283,1.162943
15096,1.156171,0,794,890017,3,192,431,688,2382,1.156171
15102,1.300505,0,396,890022,3,192,431,688,1188,1.300505
15103,1.264444,0,450,890022,3,192,431,688,1350,1.264444
15106,1.258206,0,457,890023,3,192,431,688,1371,1.258206
15107,1.241803,0,488,890023,3,192,431,688,1464,1.241803
15108,1.087021,0,1356,890023,3,192,431,688,4068,1.087021
15109,1.336310,0,336,890028,3,192,431,688,1008,1.336310
15114,1.236897,0,477,890028,3,192,431,688,1431,1.236897
15115,1.231084,0,489,890028,3,192,431,688,1467,1.231084
15116,1.224206,0,504,890028,3,192,431,688,1512,1.224206
15130,1.278736,0,348,890044,3,192,431,688,1044,1.278736
15131,1.217978,0,445,890044,3,192,431,688,1335,1.217978
15132,1.165529,0,586,890044,3,192,431,688,1758,1.165529
15133,1.159539,0,608,890044,3,192,431,688,1824,1.159539
15142,1.245989,0,374,890049,3,192,431,688,1122,1.245989
15143,1.166365,0,553,890049,3,192,431,688,1659,1.166365
15144,1.270833,0,336,890050,3,192,431,688,1008,1.270833
15145,1.233333,0,390,890050,3,192,431,688,1170,1.233333
15146,1.226368,0,402,890050,3,192,431,688,1206,1.226368
15147,1.218225,0,417,890050,3,192,431,688,1251,1.218225
15154,1.188184,0,457,890055,3,192,431,688,1371,1.188184
15156,1.173737,0,495,890055,3,192,431,688,1485,1.173737
15162,1.173447,0,467,890060,3,192,431,688,1401,1.173447
15163,1.173447,0,467,890060,3,192,431,688,1401,1.173447
15164,1.173077,0,468,890060,3,192,431,688,1404,1.173077
15165,1.167355,0,484,890060,3,192,431,688,1452,1.167355
