Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
FCFS,41306,102261.000000,59150.378906,2443265536.000000,709454.000000,64074.054688,2646642944.000000,1715712.000000,4758668.000000,1195596928.000000,674056.000000,2389768.000000,135.486771,109.663971,481.324310,296.816681,0,33089,135.486771,0.000000,0.000000,109.663971,0.000000,0.000000,33052
FCFS CONSERVATIVE BF MODE 2,41306,107707.000000,33384.949219,1378998784.000000,716414.000000,38306.949219,1582306816.000000,1646912.000000,4765628.000000,1195351808.000000,680784.000000,2327696.000000,83.441803,60.099167,469.827026,289.963348,0,16006,83.441803,0.000000,0.000000,60.099167,0.000000,0.000000,33370
EFT,41306,96542.000000,58422.222656,2413188352.000000,708094.000000,63346.656250,2616596992.000000,1683648.000000,4757308.000000,1195330816.000000,717265.000000,2400913.000000,133.635452,108.153076,475.556763,293.260010,0,33099,133.635452,0.000000,0.000000,108.153076,0.000000,0.000000,33222
EFT CONSERVATIVE BF MODE 2,41306,106849.000000,39752.843750,1642030976.000000,716414.000000,44675.359375,1845360384.000000,1625792.000000,4765628.000000,1195320704.000000,685160.000000,2310952.000000,95.153557,71.471085,470.664856,290.243347,0,21302,95.153557,0.000000,0.000000,71.471085,0.000000,0.000000,33534
SCORE,41306,561600.000000,3757.583008,155210720.000000,702000.000000,8667.132812,358004608.000000,787392.000000,4730249.000000,1192779520.000000,713552.000000,1500944.000000,4.040820,3.732048,67.951614,43.496666,0,310,4.040820,0.000000,0.000000,3.732048,0.000000,0.000000,37901
SCORE CONSERVATIVE BF MODE 2,41306,561600.000000,3199.298096,132150208.000000,706062.000000,8112.418945,335091584.000000,809344.000000,4755276.000000,1192910336.000000,836544.000000,1645888.000000,2.837458,2.675475,43.497437,31.183229,0,314,2.837458,0.000000,0.000000,2.675475,0.000000,0.000000,37603
OPPORTUNISTIC-SCORE MIX,41306,96771.000000,55274.382812,2283163648.000000,704041.000000,60198.617188,2486564096.000000,1602112.000000,4753255.000000,1194658432.000000,714278.000000,2316390.000000,127.173477,102.260605,469.308105,289.859985,0,31367,127.173477,0.000000,0.000000,102.260605,0.000000,0.000000,33444
OPPORTUNISTIC-SCORE MIX CONSERVATIVE BF MODE 2,41306,105398.000000,47432.402344,1959242752.000000,705741.000000,52352.605469,2162476800.000000,1616704.000000,4754955.000000,1194747136.000000,642614.000000,2259318.000000,110.294022,86.252159,469.983795,289.959991,0,27393,110.294022,0.000000,0.000000,86.252159,0.000000,0.000000,33165
EFT-SCORE MIX,41306,148158.000000,7645.181641,315791872.000000,620998.000000,12552.420898,518490304.000000,940224.000000,4670212.000000,1193020544.000000,594410.000000,1534634.000000,20.343594,14.779321,158.258072,98.120003,0,3519,20.343594,0.000000,0.000000,14.779321,0.000000,0.000000,37901
EFT-SCORE MIX CONSERVATIVE BF MODE 2,41306,140400.000000,6564.762695,271164096.000000,631282.000000,11473.751953,473934816.000000,983488.000000,4680496.000000,1193078400.000000,643243.000000,1626731.000000,16.449142,12.122204,145.666672,90.313332,0,1094,16.449142,0.000000,0.000000,12.122204,0.000000,0.000000,37448
