Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
FCFS,4721,64385.000000,6684.579590,31557900.000000,847835.000000,16426.425781,77549160.000000,1297728.000000,3042064.000000,585422016.000000,272722.000000,1570450.000000,2.789560,2.780113,45.716122,45.716122,0,587,2.789560,0.000000,0.000000,2.780113,0.000000,0.000000,2097
FCFS CONSERVATIVE BF MODE 2,4721,66549.000000,6364.180664,30045296.000000,847835.000000,16107.298828,76042560.000000,1298624.000000,3042064.000000,585533376.000000,277875.000000,1576499.000000,2.645277,2.635729,47.207561,47.207561,0,574,2.645277,0.000000,0.000000,2.635729,0.000000,0.000000,2153
EFT,4721,65933.000000,6925.094727,32693372.000000,847835.000000,16666.125000,78680776.000000,1294528.000000,3042064.000000,585482048.000000,272157.000000,1566685.000000,2.837812,2.828322,46.853065,46.853065,0,648,2.837812,0.000000,0.000000,2.828322,0.000000,0.000000,2180
EFT CONSERVATIVE BF MODE 2,4721,64929.000000,6206.807617,29302338.000000,847835.000000,15951.689453,75307928.000000,1303744.000000,3042064.000000,585689024.000000,281112.000000,1584856.000000,2.608482,2.599037,46.168331,46.168331,0,538,2.608482,0.000000,0.000000,2.599037,0.000000,0.000000,2192
SCORE,4721,540000.000000,8454.014648,39911404.000000,847835.000000,18053.267578,85229480.000000,603584.000000,3042064.000000,577227904.000000,183229.000000,786813.000000,1.961848,1.940154,20.879183,20.879183,0,208,1.961848,0.000000,0.000000,1.940154,0.000000,0.000000,3551
SCORE CONSERVATIVE BF MODE 2,4721,540000.000000,8428.825195,39792484.000000,847835.000000,18026.376953,85102528.000000,610048.000000,3042064.000000,577205760.000000,168761.000000,778809.000000,1.995891,1.971653,19.693951,19.693951,0,205,1.995891,0.000000,0.000000,1.971653,0.000000,0.000000,3513
OPPORTUNISTIC-SCORE MIX,4721,65731.000000,6514.347168,30754234.000000,847835.000000,16257.076172,76749656.000000,1289280.000000,3042064.000000,585490048.000000,282885.000000,1572165.000000,2.718639,2.709232,46.632668,46.632668,0,592,2.718639,0.000000,0.000000,2.709232,0.000000,0.000000,2200
OPPORTUNISTIC-SCORE MIX CONSERVATIVE BF MODE 2,4721,65602.000000,6196.125977,29251910.000000,847835.000000,15937.958984,75243104.000000,1283136.000000,3042064.000000,585428608.000000,284711.000000,1567847.000000,2.587812,2.578366,46.564907,46.564907,0,560,2.587812,0.000000,0.000000,2.578366,0.000000,0.000000,2201
EFT-SCORE MIX,4721,131554.000000,5793.289551,27350120.000000,847835.000000,15395.492188,72682120.000000,714688.000000,3042064.000000,577493120.000000,178886.000000,893574.000000,1.871452,1.848516,19.693951,19.693951,0,234,1.871452,0.000000,0.000000,1.848516,0.000000,0.000000,3456
EFT-SCORE MIX CONSERVATIVE BF MODE 2,4721,134999.000000,5869.551270,27710152.000000,847835.000000,15470.912109,73038176.000000,714048.000000,3042064.000000,577381888.000000,174257.000000,888305.000000,1.970491,1.952818,21.398979,21.398979,0,230,1.970491,0.000000,0.000000,1.952818,0.000000,0.000000,3416
