Scheduler,Number of jobs,Maximum queue time,Mean queue time,Total queue time,Maximum flow,Mean flow,Total flow,Transfer time,Makespan,Core time used, Waiting for a load time, Total waiting for a load time and transfer time, Mean Stretch, Mean Stretch With a Minimum, Max Stretch, Max Stretch With a Minimum, Nb Upgraded Jobs, Nb jobs large queue time, Mean flow stretch 128 jobs, Mean flow stretch 256 jobs, Mean flow stretch 1024 jobs, Mean flow stretch with a minimum 128 jobs, Mean flow stretch with a minimum 256 jobs, Mean flow stretch with a minimum 1024 jobs, Number of data reuse
FCFS,10201,6882.000000,525.954224,5365259.000000,604800.000000,2906.177490,29645916.000000,1149568.000000,6724774.000000,231543504.000000,419380.000000,1568948.000000,1.694328,1.617525,7.559829,7.559829,0,0,1.694328,0.000000,0.000000,1.617525,0.000000,0.000000,6654
FCFS_BF,10201,7046.000000,531.636597,5423225.000000,604800.000000,2911.210205,29697256.000000,1152704.000000,6724774.000000,231413648.000000,409505.000000,1562209.000000,1.677659,1.613066,7.284519,7.284519,0,0,1.677659,0.000000,0.000000,1.613066,0.000000,0.000000,6525
EFT,10201,6633.000000,568.117737,5795369.000000,604800.000000,2948.666260,30079344.000000,1122816.000000,6724774.000000,231540496.000000,449308.000000,1572124.000000,1.774407,1.697970,8.471739,8.471739,0,0,1.774407,0.000000,0.000000,1.697970,0.000000,0.000000,6798
EFT_BF,10201,8002.000000,530.508179,5411714.000000,604800.000000,2908.275146,29667316.000000,1123200.000000,6724774.000000,231255600.000000,420569.000000,1543769.000000,1.645668,1.581354,7.422747,7.422747,0,0,1.645668,0.000000,0.000000,1.581354,0.000000,0.000000,6732
LEA,10201,360049.000000,1653.293213,16865244.000000,717683.000000,3967.573486,40473216.000000,602880.000000,6831221.000000,225300592.000000,291952.000000,894832.000000,2.022777,1.929912,20.750328,20.750328,0,49,2.022777,0.000000,0.000000,1.929912,0.000000,0.000000,8586
LEA_BF,10201,360049.000000,1696.285034,17303804.000000,717683.000000,4010.240479,40908464.000000,602688.000000,6831221.000000,225215024.000000,288794.000000,891482.000000,2.008631,1.917080,16.412413,16.412413,0,48,2.008631,0.000000,0.000000,1.917080,0.000000,0.000000,8545
